board,type,title,subject,grade,link
fbise,notes,Physics — Chapter 1,Physics,1st Year,https://drive.google.com/your-link
fbise,notes,Physics — Chapter 2,Physics,1st Year,https://drive.google.com/your-link
fbise,notes,Chemistry — Chapter 1,Chemistry,1st Year,https://drive.google.com/your-link
fbise,notes,Chemistry — Chapter 2,Chemistry,1st Year,https://drive.google.com/your-link
fbise,notes,Biology — Chapter 1,Biology,1st Year,https://drive.google.com/your-link
fbise,notes,Biology — Chapter 2,Biology,1st Year,https://drive.google.com/your-link
fbise,notes,Mathematics — Chapter 1,Mathematics,1st Year,https://drive.google.com/your-link
fbise,notes,Mathematics — Chapter 2,Mathematics,1st Year,https://drive.google.com/your-link
fbise,notes,Computer Science — Chapter 1,Computer Science,1st Year,https://drive.google.com/your-link
fbise,notes,Computer Science — Chapter 2,Computer Science,1st Year,https://drive.google.com/your-link
fbise,notes,English — Chapter 1,English,1st Year,https://drive.google.com/your-link
fbise,notes,English — Chapter 2,English,1st Year,https://drive.google.com/your-link
fbise,notes,Urdu — Chapter 1,Urdu,1st Year,https://drive.google.com/your-link
fbise,notes,Urdu — Chapter 2,Urdu,1st Year,https://drive.google.com/your-link
fbise,notes,Islamiat — Chapter 1,Islamiat,1st Year,https://drive.google.com/your-link
fbise,notes,Islamiat — Chapter 2,Islamiat,1st Year,https://drive.google.com/your-link
fbise,notes,Pakistan Studies — Chapter 1,Pakistan Studies,1st Year,https://drive.google.com/your-link
fbise,notes,Pakistan Studies — Chapter 2,Pakistan Studies,1st Year,https://drive.google.com/your-link
fbise,textbooks,Physics — Class 9 (NBF),Physics,Class 9,https://drive.google.com/your-link
fbise,textbooks,Physics — Class 10 (NBF),Physics,Class 10,https://drive.google.com/your-link
fbise,textbooks,Physics — 1st Year (NBF),Physics,1st Year,https://drive.google.com/your-link
fbise,textbooks,Physics — 2nd Year (NBF),Physics,2nd Year,https://drive.google.com/your-link
fbise,textbooks,Chemistry — Class 9 (NBF),Chemistry,Class 9,https://drive.google.com/your-link
fbise,textbooks,Chemistry — Class 10 (NBF),Chemistry,Class 10,https://drive.google.com/your-link
fbise,textbooks,Chemistry — 1st Year (NBF),Chemistry,1st Year,https://drive.google.com/your-link
fbise,textbooks,Chemistry — 2nd Year (NBF),Chemistry,2nd Year,https://drive.google.com/your-link
fbise,textbooks,Biology — Class 9 (NBF),Biology,Class 9,https://drive.google.com/your-link
fbise,textbooks,Biology — Class 10 (NBF),Biology,Class 10,https://drive.google.com/your-link
fbise,textbooks,Biology — 1st Year (NBF),Biology,1st Year,https://drive.google.com/your-link
fbise,textbooks,Biology — 2nd Year (NBF),Biology,2nd Year,https://drive.google.com/your-link
fbise,textbooks,Mathematics — Class 9 (NBF),Mathematics,Class 9,https://drive.google.com/your-link
fbise,textbooks,Mathematics — Class 10 (NBF),Mathematics,Class 10,https://drive.google.com/your-link
fbise,textbooks,Mathematics — 1st Year (NBF),Mathematics,1st Year,https://drive.google.com/your-link
fbise,textbooks,Mathematics — 2nd Year (NBF),Mathematics,2nd Year,https://drive.google.com/your-link
fbise,textbooks,Computer Science — Class 9 (NBF),Computer Science,Class 9,https://drive.google.com/your-link
fbise,textbooks,Computer Science — Class 10 (NBF),Computer Science,Class 10,https://drive.google.com/your-link
fbise,textbooks,Computer Science — 1st Year (NBF),Computer Science,1st Year,https://drive.google.com/your-link
fbise,textbooks,Computer Science — 2nd Year (NBF),Computer Science,2nd Year,https://drive.google.com/your-link
fbise,textbooks,English — Class 9 (NBF),English,Class 9,https://drive.google.com/your-link
fbise,textbooks,English — Class 10 (NBF),English,Class 10,https://drive.google.com/your-link
fbise,textbooks,English — 1st Year (NBF),English,1st Year,https://drive.google.com/your-link
fbise,textbooks,English — 2nd Year (NBF),English,2nd Year,https://drive.google.com/your-link
fbise,textbooks,Urdu — Class 9 (NBF),Urdu,Class 9,https://drive.google.com/your-link
fbise,textbooks,Urdu — Class 10 (NBF),Urdu,Class 10,https://drive.google.com/your-link
fbise,textbooks,Urdu — 1st Year (NBF),Urdu,1st Year,https://drive.google.com/your-link
fbise,textbooks,Urdu — 2nd Year (NBF),Urdu,2nd Year,https://drive.google.com/your-link
fbise,textbooks,Islamiat — Class 9 (NBF),Islamiat,Class 9,https://drive.google.com/your-link
fbise,textbooks,Islamiat — Class 10 (NBF),Islamiat,Class 10,https://drive.google.com/your-link
fbise,textbooks,Islamiat — 1st Year (NBF),Islamiat,1st Year,https://drive.google.com/your-link
fbise,textbooks,Islamiat — 2nd Year (NBF),Islamiat,2nd Year,https://drive.google.com/your-link
fbise,textbooks,Pakistan Studies — Class 9 (NBF),Pakistan Studies,Class 9,https://drive.google.com/your-link
fbise,textbooks,Pakistan Studies — Class 10 (NBF),Pakistan Studies,Class 10,https://drive.google.com/your-link
fbise,textbooks,Pakistan Studies — 1st Year (NBF),Pakistan Studies,1st Year,https://drive.google.com/your-link
fbise,textbooks,Pakistan Studies — 2nd Year (NBF),Pakistan Studies,2nd Year,https://drive.google.com/your-link
fbise,pastpapers,Physics Past Paper 2025,Physics,1st Year,https://drive.google.com/your-link
fbise,pastpapers,Chemistry Past Paper 2025,Chemistry,1st Year,https://drive.google.com/your-link
fbise,pastpapers,Biology Past Paper 2025,Biology,1st Year,https://drive.google.com/your-link
fbise,pastpapers,Mathematics Past Paper 2025,Mathematics,1st Year,https://drive.google.com/your-link
fbise,pastpapers,Computer Science Past Paper 2025,Computer Science,1st Year,https://drive.google.com/your-link
fbise,pastpapers,English Past Paper 2025,English,1st Year,https://drive.google.com/your-link
fbise,pastpapers,Urdu Past Paper 2025,Urdu,1st Year,https://drive.google.com/your-link
fbise,pastpapers,Islamiat Past Paper 2025,Islamiat,1st Year,https://drive.google.com/your-link
fbise,pastpapers,Pakistan Studies Past Paper 2025,Pakistan Studies,1st Year,https://drive.google.com/your-link
balochistan,notes,Physics — Chapter 1,Physics,1st Year,https://drive.google.com/your-link
balochistan,notes,Physics — Chapter 2,Physics,1st Year,https://drive.google.com/your-link
balochistan,notes,Chemistry — Chapter 1,Chemistry,1st Year,https://drive.google.com/your-link
